question,answer_a,answer_b,answer_c,answer_correct,media,category
"What should a tram driver do, if the passengers upon entering the tram, do not want to close the doors and their professional repair is necessary.",Ask all the passengers to leave the tram and drive the empty tram back to the depot.,"Start driving with the doors open, warning the passengers of a possible inconvenience.",Turn on the drive lock and continue driving with the passengers.,A,,PT
What should a tram driver do when approaching a dirty rail switch?,Continue driving without paying attention to the dirty state of rail switch.,Stop and clean up the rail switch before driving on it.,Call the municipal cleaning services.,B,,PT
What should a tram driver do after setting the tram in motion?,"Repeatedly switch on the drive, until reaching the desired speed.","Speed up the tram to the desired speed, and drive as long as possible on the freewheel.",Release the dead man's switch.,B,,PT
How should a tram driver pass through the section isolator placed on the overhead line?,"Always in start-up, otherwise the tram will stop under the isolator due to lack of electricity.",Coasting or braking.,"Always on braking, because then the tram via the isolator gives power to the overhead line.",B,,PT
What does pressing the dead man's switch during a tram stop result in?,Falling of the rail brakes.,It enables start-up of the tram.,It turns on the tram's lights.,B,,PT
What is the maximum permissible speed of the tram in a built-up area in the hours 5:00 - 23:00 (if the road signs do not indicate otherwise)?,60 km/h,50 km/h,55 km/h,B,,PT
What should the tram driver take into account when towing a damaged tram?,An increased likelihood of the tram derailing at a sharp bend.,A prolonged braking distance,A shortened braking distance,B,,PT
Is it necessary to reduce the speed of the tram when passing the rail switch?,"Yes, it is only necessary on rail switches operated unilaterally, marked with the sign BT-4 ""Z-Stop"".","Yes, it is mandatory.","No, it is not mandatory as it could cause a delay in exit from the intersection.",B,,PT
"On which section does the speed limit apply to, subject to this sign?",To the nearest tram stop.,To the nearest traction pole.,To the nearest intersection (fork) of tracks.,C,184TRAM3org.jpg,PT
On which section does the speed limit apply to subject to this sign?,To the nearest road intersection without tracks.,To the location of the sign indicating the end of the sign.,To the nearest tram stop.,B,184TRAM3org.jpg,PT
How should a tram driver behave on the section beyond the visible prohibition sign?,He can drive at a speed 10 km/h greater than the value indicated on the sign.,He should drive at a speed no greater than than the value indicated on the sign.,"He can drive at any speed, if there are no obstacles on the track.",B,184TRAM3org.jpg,PT
What effect will the use of sandboxes during start-up on slippery rails trigger?,Facilitates start-up - reduce wheel slip.,Makes start-up difficult,Will not affect start-up.,A,,PT
What type of fire extinguisher should a tram be equipped with?,Foam fire extinguisher,Water fire extinguisher,CO2 fire extinguisher,C,,PT
Is driving a tram without covers on the couplings between the carriages from the side of the passenger doors permitted?,It is prohibited,It is permitted in every case.,It is permitted provided there are markings on the couplers indicating prohibition of entry between the carriages.,C,,PT
In what situation can you use the emergency lights if the tram is equipped with one?,To thank another vehicle driver for yielding the right of way.,During each stop at a tram stop situated on the roadway (not separated),To signal the presence of a tram immobilised due to a breakdown.,C,,PT
"In which situation, are you allowed to leave the tram depot with a damaged external warning bell?",If you will only drive during the day.,Under no circumstances.,If the fault has been noted down in the tram's document and certified by technical service.,B,,PT
Which brakes perform an emrgency function in a tram?,The electrodynamic brakes.,The shoe brakes.,The track brakes.,C,,PT
"What is the purpose of the drive lock circuit (""green line"")?",It prevents the tram from entering a track occupied by a tram driving from the opposite direction.,It prevents the tram driving with open (half-open) doors.,It allows passengers to open the door before the tram stops.,B,,PT
What effect will the use of sandboxes when braking on slippery rails trigger?,It will prolong the braking distance.,It will reduce the braking distance - reduce wheel slip.,It will not affect the braking distance.,B,,PT
How can a tram driver adjust the braking force of the rail brakes?,Only to a limited extent.,To every extent.,It has no effect on regulating the braking force of the brakes.,C,,PT
What should be the distance from a preceding tram while driving?,At least 10 m.,Enough to allow a collision-free stop of the vehicle.,It is regulated by internal rules of the company.,B,,PT
Which of the following brakes will be activated if you release the dead man's switch while driving?,Only the rail brakes.,Only the shoe brakes,"Emergency braking ( rail, shoe and at the minimum the electrodynamic brakes).",C,,PT
How should you behave when entering the tram stop?,Brake quickly and violently.,Brake smoothly and decisively.,"Brake, simultaneously using all 3 types of brakes.",B,,PT
How do you brake after getting the tram out of a skid?,With less force so as to prevent further locking of the wheels.,By releasing the dead man's switch.,"By using the countercurrent, after resetting the reverser to the backward drive.",A,,PT
What should you assume when determining the distance from a preceding tram?,that the driver may suddenly brake,that the driver will not brake suddenly because he is carrying passengers.,that the driver will not brake suddenly because he sees in the mirror that there is a tram driving behind him.,A,,PT
What may determine the safe distance from a preceding tram?,The travel time set out in the timetable.,The current weather conditions.,The number of tram stops on a given route.,B,,PT
"If the speed of the tram determines the ability to stop safely, on what in particular should the tram's speed be adjusted to?",The condition of the track and visibility of the road.,The power and number of engines on the tram.,The number of parallel tracks.,A,,PT
You are driving a tram. What should you do when approaching a puddle located on the trackway?,Drive through with the greatest possible speed.,Drive through with the least possible speed.,Stop the tram before each puddle.,B,,PT
What effect does residual material on the tracks originating from wet leaves induce?,It reduces the possibility of skidding.,It has no effect on the possibility skidding?,It increases the possibility of skidding.,C,,PT
How does the presence of leaves in the trackway affect the behaviour of the tram.,It has no effect on grip.,It reduces grip.,It increases grip.,B,,PT
What effect does the initial phase of the rainfall have on the condition of the trackway?,It results in an improved grip between the wheels and rails.,It poses a threat to skidding during start-up and braking.,It has no impact on the tram's drive.,B,,PT
When does rainfall have the greatest impact on the start-up and braking of the tram?,In the initial phase.,When a prolonged rainfall turns into a drizzle.,In the final phase.,A,,PT
What increases the risk of a tram skidding?,Heating up of the rails by the sun.,The effect of sand and dust covering the rails.,Wet leaves covering the trackway.,C,,PT
In which season of the year are the conditions most difficult to drive a tram?,Spring.,Winter.,Autumn.,C,,PT
"How should a tram driver behave, if the railheads are flooded with water on a considerable section?",Stop the tram.,Drive at low speed.,Drive at high speed.,A,,PT
"How should the tram driver behave, if he notices stones in the grooves of the rails?",Drive at maximum speed so that the stones are thrown to the sides.,"Drive slowly, because a low speed ensures the tram does not derail.",Remove the stones before driving through such section of the track.,C,,PT
How should the internal mirrors on a tram be positioned?,To see only the tram driver's cabin space.,To see the area of the wagon close to the door.,To see the outline of the vehicle.,B,,PT
"In what situation can a tram drive start driving, if the passengers have not moved away from the edge of the tram stop.",If there is a delay relative to the timetable.,On condition that he exercises particular caution.,Only when passengers move away to a safe distance.,B,,PT
When can a tram driver increase the speed negotiating a curve of the road?,At the entrance of the curve.,When the last carriage leaves the curve.,When the first carriage exits the curve.,B,,PT
"What should a tram driver do in this situation, immediately after stopping the tram at the tram stop?","Make sure, using the right exterior mirror that vehicles did not stop on the roadway.",Turn on the right turn signal to indicate a stop.,Immediately open the door to observe the movement of passengers.,A,184.2org.jpg,PT
"In what situations while driving, is the tram driver allowed to disable the driving lock?",At the request of a passenger.,Where the wagon is crammed full with passengers.,It is forbidden in every situation.,C,,PT
Which of the mentioned braking systems should a cable car be equipped with?,Electric brake,Service brake,Handbrake,B,,PT
What should you check first if the tram fails to move after switching on?,Converter voltage.,The setting of the direction reverser.,The closed door signalling device.,C,,PT
What voltage should the voltmeter indicate when you turn on the battery?,Not less than 38 V.,Less than the value specified for the given type of tram.,Greater than the value specified for the given type of tram.,C,,PT
"What Should a tram driver do, if upon switching on drive the shoe brakes fail to disinhibit?",Continue driving without undertaking any actions.,Undo the brake release,"Call traffic control, because it is not possible without special tools.",B,,PT
"What effect does pressing of the pedal or tilting of the electrodynamic brake's lever ""beyond the limiter"" induce?",Activation of the rail brakes.,Increased efficiency of the electrodynamic braking effect.,Damage to the brake system.,A,,PT
What most often cause loss of start-up?,"Tram power failure (e.g. loss of overhead connection or a tram stop ""on the insulator"").",Damage to the internal lighting of the wagon.,Weather conditions.,A,,PT
"Should you start changing lanes in this situation, if you intend to leave the highway?",,,,Tak,IMG_7292d8orgbm.jpg,"A,B,C,D,A1,A2,C1,D1"
Is it forbidden to stop vehicles in this place?,,,,Tak,W10(44)org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to go straight ahead. Are you allowed to drive directly by the right edge of the roadway on the presented section of the road?,,,,Nie,3138D15orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed in this situation to drive into the narrowed part of the road without stopping before the traffic light post?,,,,Tak,0686D18_aorgbm po korekcie.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You are driving a passenger car in a fog which limits the visibility to 40 metres. Which of these actions may improve safety of driving?,Switching on the high beam lights.,Decreasing the distance between the preceding vehicle.,Switching on the rear fog lights.,C,,B
What will you do to reduce the effect of internal fogging on the windshield when driving in the rain?,I will turn on the windshield wiper.,I will turn on air conditioning and direct airflow to the windshield.,I will direct airflow to the feet.,B,,PT
How should the tram driver position the right external mirror?,To see the entire platform and passengers.,To see the side of the tram and the space behind the vehicle.,"It can be folded, because it is not useful while driving.",B,,PT
At what permissible speed can you drive in a residential area?,40 km/h,30 km/h,20 km/h,C,,PT
Should you at the next rail intersection yield the right of way to a tram that could have come from the right?,,,,Tak,253TRAM1org.wmv,PT
"Taking into account the order to secure vehicles during stops, should all the doors remain closed when the tram driver is in the cabin?",,,,Nie,,PT
Are you obliged to slow down in this situation?,,,,Tak,GIMBUS4Dorg.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Can you continue driving not taking into account the behaviour of the pedestrian?,,,,Nie,D24_11org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Can you make a U-turn from the lane marked in this way?,,,,Tak,3914D15_aorgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Can you expect cyclists who will ride straight ahead on the lane you are using?,,,,Tak,4122D15_aorgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a level crossing fitted with full barriers or half-barriers?,,,,Tak,IMG_9890d8org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to make a U-turn in this place?,,,,Nie,IMG_028d9orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"Does this ""stop"" sign on the roadway warn you of approaching a priority road?",,,,Tak,2716D14MM_aorgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
How should you behave to drive at a safe speed?,Maintain the speed to avoid collision with the preceding vehicle.,Adhere to the road signs restricting speed?,Adhere to the rules applicable in the built-up area?,A,,PT
"After passing the vehicle in this situation, are you allowed to change the low beam lights into high beam lights?",,,,Tak,B.1.6.4.bzorg_skrocony.wmv,"A,B,C,D,A1,A2,B1,C1,D1"
"When driving a motor vehicle in these conditions, are you allowed to use position lights only?",,,,Nie,642.D33org.wmv,"A,B,C,D,A1,A2,B1,C1,D1"
"In the presented situation, are you warned of an intersection in which the traffic flows around a traffic island or a square in the direction indicated on the sign?",,,,Tak,1638D15org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you warned in this situation of a considerable road elevation?,,,,Tak,IMG_8800d8org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"In the presented situation, are you allowed to drive through the railway crossing without stopping?",,,,Nie,049D16org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"You are driving a vehicle in the built-up area. In the presented situation, are you obliged to allow the bus driver to join the traffic?",,,,Tak,W9(32)org.wmv,"A,B,C,D,T,AM"
Are you warned in this situation of approaching an intersection at which the right of way is not established by signs?,,,,Tak,1433D14MMorgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"In the presented situation, before driving onto the rails, are you obliged to make sure that no rail vehicle is approaching?",,,,Tak,D18_1org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"You intend to go straight on, while the motorcyclist intends to turn left. Do you have to yield the right of way to the motorcyclist?",,,,Tak,KW_D22_409_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to begin overtaking in this situation?,,,,Nie,GND14__3_org_2.wmv,"A,B,C,D,A1,A2,B1,C1,D1"
You plan to turn right and the bus driver intends to turn left. Have you got priority over him?,,,,Nie,W7(48)org.wmv,B
Are you allowed to pass the preceding stationary vehicle on the left?,,,,Nie,W13(22)org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to turn right. Do you have the right of way over the vehicle approaching from the left?,,,,Nie,W6(43)org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You are driving on the major road. Do you have the right of way over the cyclist in this situation?,,,,Nie,"W17(14,18,19)org.wmv","A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Do you have the right of way over the cyclist in this situation?,,,,Nie,W17(15)org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed in this situation to drive onto the pavement to avoid this vehicle?,,,,Nie,W13(23)org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed in this situation to drive a vehicle with high-beam lights switched on?,,,,Nie,W14(28)org.wmv,"A,B,C,D,A1,A2,B1,C1,D1"
"After turning left, do the signs on the crosswise roadway prohibit you from going to the right uttermost lane?",,,,Nie,W4(89)org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Did you chose the place for stopping correctly in this situation?,,,,Nie,W16(29)org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you passing the preceding vehicle correctly?,,,,Tak,W13(24)org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Have you got priority over the vehicle approaching from the left in this situation?,,,,Nie,502_D27KW_org_2.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you obliged to observe the road in the exterior mirror in this situation before you join the traffic?,,,,Tak,D36_44org.wmv,B
While driving a car in the rain the risk of skidding is:,the highest in the initial stage of the rain.,the lowest in the initial stage of the rain.,the highest in the final stage of the rain.,A,,"B,B1"
What is the influence of the speed of driving on the field of view of a passenger car driver?,When the speed increases the field of view narrows down.,When the speed increases the field of view expands.,It has no influence.,A,,B
Which of the following factors may restrict the field of view of a passenger car's driver?,Using air conditioning during the rain.,Internal mirror.,Blinding lights of other oncoming vehicles.,C,,B
Which of the following factors may restrict the field of view of a passenger car's driver at night?,Decreased speed.,Damaged ABS.,Improperly adjusted lights.,C,,B
Which of the following factors may restrict the field of view of a passenger car's driver?,Blinking his eyes during a brake in driving.,15 minutes of rest after two hours of driving.,Driving when being intoxicated.,C,,B
Which of the following factors may restrict the field of view of a passenger car's driver?,The driver's seat mounted too low.,15 minutes of rest after two hours of driving.,Sunglasses used on a sunny day.,A,,B
What is the influence of the speed of driving on the angle of view of a passenger car's driver?,The higher the speed the larger the angle of view.,The higher the speed the smaller the angle of view.,It has no influence.,B,,B
You are driving at the speed of 80 km/h. What starting position will ensure optimal trajectory on the bend?,"In the middle of the road, partially crossing the line shown.",By the line dividing the lanes - on the right side of the roadway.,By the right edge of the road.,B,IMG_0027orgbm.jpg,"B,B1"
You are driving at the speed of 90 km/h. What starting position will ensure optimal trajectory on the bend?,"In the middle of the road, partially crossing the line shown.",By the line dividing the lanes - on the right side of the roadway.,By the right edge of the road.,C,IMG_9130d8orgbm.jpg,"B,B1"
How should you behave in order to accelerate the passenger car properly on a flat part of the road?,Use the engine revolutions maximally in every gear.,Accelerate to such speed in lower gear that after switching to the next gear the vehicle does not jerk and does not choke.,In every case increase the gear by two.,B,,B
In what way are you allowed to carry bicycles on a passenger car?,Placed in holders at the rear of the car and limiting the legibility of the registration plate.,Placed in holders at the rear of the car and covering one side light of the car.,Placed in holders fixed on the roof rack.,C,,B
Is traffic allowed only for authorised vehicles on the right lane of the road beyond this sign?,,,,Tak,9148orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Should you limit your trust to this traffic user in this situation and start braking?,,,,Tak,AK_D08-03_18_org_2.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"Does the word ""STOP"" on the roadway confirm the marking of the entry to the junction with a vertical ""stop"" sign?",,,,Tak,0288D14MM_aorgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to turn left in this situation?,,,,Nie,065bD11orgbez maski.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to turn right in this situation?,,,,Nie,IMG_9402aorgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
In this situation can you turn right from the traffic lane you are occupying?,,,,Tak,IMG_3170orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Should you exercise particular caution when emerging from the field onto a hardened road?,,,,Tak,D36_35org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you obliged to exercise particular caution in this situation?,,,,Tak,D18_6org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Should you be prepared to stop your vehicle in this situation?,,,,Tak,2965orgbm.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Is it justifiable to decrease the speed when passing in this situation?,,,,Tak,W13(25).wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Can you drive with high-beam lights switched on in this situation?,,,,Nie,B.1.6.6.Bzorgbezmaski.wmv,"A,B,C,D,A1,A2,B1,C1,D1"
Are you allowed in this situation to use daytime running lights instead of low beam lights?,,,,Tak,W14(30).wmv,"B,C,D,C1,D1"
Should you use the horn in this situation?,,,,Nie,"W17(14,18,19)org.wmv","A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Are you allowed to drive a bus with a single axle load of 10 tons on a road marked in such a way?,,,,Tak,IMG_3747d8_org poprawione1.jpg,D
You are driving a bus which performs paid transport on regular lines. Are you allowed to use the right lane at any time in this situation?,,,,Tak,IMG_0238b_org.jpg,"D,D1"
Do these white reflective road studs placed on the right side on the dashed line divide the lanes in this situation?,,,,Tak,IMG_9746org.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You intend to turn left and the vehicle approaching from the right plans to go straight. Have you got the right of way over this vehicle?,,,,Nie,KW_D22_454_org.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Is it allowed to drive a lorry of a single axle load of 10 tons on the road marked in such a way?,,,,Tak,IMG_3747d8_org poprawione1.jpg,C
Is the tractor left unattended in the parking lot properly protected against being started by unauthorized person?,,,,Nie,IMG_5772_1org.jpg,T
"Are you allowed to move away from the parked tractor, if the engine is running?",,,,Nie,IMG_5770_1org.jpg,T
Is the motorcycle left unattended in the parking lot properly protected against being started by unauthorized person?,,,,Nie,IMG_0014org.jpg,"A,A1,A2"
"Are you allowed to move away from the parked motorcycle, if the engine is running?",,,,Nie,IMG_6164org.jpg,"A,A1,A2"
Is the bus left unattended in the parking lot properly protected against being started by unauthorized person?,,,,Nie,D35_04org.jpg,"D,D1"
Is the vehicle left unattended in the parking lot properly protected against being started by unauthorized person?,,,,Nie,D34_004org.jpg,"C,C1"
"Are you allowed to move away from the parked vehicle, if the engine is running?",,,,Nie,IMG_6160org.jpg,"C,C1"
Are you allowed to move away from the parked bus if the engine is running?,,,,Nie,D35_06org.jpg,"D,D1"
Is the vehicle left unattended in the parking lot properly protected against being started by unauthorized person?,,,,Nie,Sequence01_6org.wmv,B
You intend to turn right. Are you obliged to yield the right of way to the vehicle approaching from the left?,,,,Tak,504_D27KW_org_2.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
In which of the listed cases regular technical inspections of a vehicle has influence on its safe use in road traffic?,Only after the warranty period expiry.,Only during warranty period.,Throughout the use period.,C,,"B,B1"
You intend to follow the road ahead. Are you obliged to yield the right of way to the vehicle approaching from the left?,,,,Nie,KW_D16_356org_2.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
You are turning right and the driver of the oncoming vehicle intends to turn left. Have you got priority over him?,,,,Tak,KW_D22_436_org_2.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
What does the warning light with the battery symbol turned red when on the move warn of?,Of the damage to the battery.,Of a total discharge of the battery.,Of faulty operation of battery charging.,C,B9(42)org.jpg,B
Which of the following results may be caused by continuing driving when the engine oil pressure warning light is flashing red?,Serious damage to the engine.,Damage to the brakes.,Damage to the  drive transferring mechanisms.,A,"B9(41,43,44)org.jpg","B,B1"
Which of the following persons are obliged to use seat belts?,A person carried on a wheelchair.,A vehicle driver.,Visibly pregnant women.,B,"B2(27,28,30,31)org.jpg","B,B1"
What is the role of a properly placed headrest in case of a road accident?,It protects the top of the head.,It protects the cervical vertebrae.,It protects the back.,B,B2(29)org.jpg,B
In head-on crashes the use of seat belts:,reduces the risk of serious or deadly injuries.,increases the risk of light injuries.,does not have influence on the risk of injuries regardless of their kind.,A,"B2(27,28,30,31)org.jpg","B,B1"
In which situation will a fastened safety belt not function properly:,When it is twisted.,When its upper part is located below the neck.,When it is tense.,A,"B2(27,28,30,31)org.jpg","B,B1"
Were you obliged to use an indicator in the situation shown?,,,,Tak,MD_D15c_07-00_org_2.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
What is the purpose of using the ABS system in a passenger car?,Preventing losing stability and ensuring steerability of the vehicle while braking.,Preventing skidding - regardless of its speed and road conditions.,Facilitating negotiating the bends.,A,,B
Which of the following actions should you take while driving a passenger car on the road covered with snow?,Avoid sudden movements of the driving wheel.,Disconnect the traction control system.,Speed up on uphill roads.,A,,B
Does this sign placed under the signalling device indicate that it is prohibited to enter the railroad switch and an obligation to stop and check whether the switch rails are properly positioned?,,,,Tak,115TRAM3org.jpg,PT
"Does the visible broken line on the roadway indicate a stop for trams, buses or trolley buses?",,,,Tak,133TRAM3Porg3po korekcie.jpg,PT
"When turning left in this situation, are you obliged to give way to the tram from the opposite direction?",,,,Tak,018TRAM1org.wmv,PT
Does the visible broken line on the road indicate a parking place for the disabled?,,,,Nie,133TRAM3Porg3po korekcie.jpg,PT
"In this situation, are you performing an overtaking manoeuvre?",,,,Tak,027TRAM3org.wmv,PT
"In such a situation, do you have the right of way over the pedestrian?",,,,Nie,045TRAM1Porg.jpg,PT
How should the tram driver behave in increasing traffic intensity?,Reach maximum speed to make up for possible delays.,Use the sound signal to speed up passage.,Slow down and increase the distance from the preceding tram to lower the level of risk.,C,,PT
"""Sweating the rails"" phenomenon consists in:",wetting of the rails by rainfall.,"moisture settling on cooled rails, mainly in the autumn.",evaporation of moisture after a rainfall.,B,,PT
How should the tram driver behave when it starts raining?,Apply a softer start-up.,Apply a more energetic start-up.,Do not change method of start-up.,A,,PT
What should the tram driver do before driving onto the rail switch?,Only look at the signalling device indicating the direction of the rail switch.,Look at the switch point and signalling device indicating the direction of the rail switch.,Only look in the direction of travel.,B,119TRAM2org.jpg,PT
"What should the tram driver do, seeing the signalling device indicating a change in the position of the rail switch to the right?",Take a look at the switch points to make sure it is positioned in the right direction.,Exclusively follow the indication of the signalling device.,"In any case, stop the tram and go out to the rail switch.",A,119TRAM2org.jpg,PT
What does the proper technique of driving a tram consist of?,"Starting-up as long as possible, coasting as short as possible and gentle braking.","A gentle start-up, coasting as long as possible and sudden braking.","A gentle start-up, coasting as long as possible and gentle braking.",C,,PT
In the case of not giving first aid to the road accident casualty who is in life endangerment situation the criminal responsibility is on:,any person who could have given them first aid without endangering their own or others' safety.,only on a doctor.,only on a road accident participant.,A,,"B,B1"
The car accident casualty who is in the vehicle should be:,evacuated from the vehicle - in all cases.,evacuated  from the vehicle - in case of stating a cardiac arrest in them.,always left in the vehicle - till the coming of a doctor.,B,,"B,B1"
"Does the speed limit defined by this sign apply to the tram driver exclusively to the nearest junction or rail intersection, provided the signs do not instruct otherwise?",,,,Tak,166TRAM1org.jpg,PT
"In this situation, are you allowed to enter beyond the signalling device?",,,,Nie,149TRAM1orgpo korkecie.jpg,PT
You are a car accident participant. Which of the listed pieces of information should you give when calling the emergency number?,"The place of the accident, the number and the condition of casualties.",Only the number of vehicles taking part in the accident.,Only the number of casualties.,A,,"B,B1"
You are a car accident participant. How should you behave when there is clothing burning on a person?,"Push the person to the ground and put out the fire by covering them with a jacket, blanket or a coat.",Wait for the coming of the fire brigade.,Put out the fire using an extinguisher.,A,,"B,B1"
Which of the listed emergencies makes it impossible to use a passenger car in road traffic?,Invalid parking sensors.,Invalid air-conditioning.,"Invalid ""stop"" lights.",C,,B
Which of the listed actions should be taken in the first place when the red engine oil pressure control light goes on while driving?,Continue driving with decreased speed.,Increase engine revolutions.,Stop the vehicle and turn off the engine.,C,,"B,B1"
Are you taking the proper lane if you want to turn left at the nearest junction?,,,,Nie,Zmiana_pasa_ruchu_53 P.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Is the presented U-turn manoeuvre prohibited in these road conditions?,,,,Nie,MD_D15c_07-03org.wmv,B
Are you allowed in this situation to overtake the vehicle from the right if there is such a possibility?,,,,Tak,WC_D17_27_org_2.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Is the number 112 an all-Poland emergency number for all emergency services?,,,,Tak,,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"What should you do if as a result of a traffic accident, fuel leaking from the damaged vehicles gather around the tram?",Disconnect the pantograph from the grid and evacuate the passengers to a safe place.,"Immediately move away from the tram, leaving the decision to evacuate to the passengers.",Wait in the tram until arrival of the fire brigade.,A,,PT
You drive a rail vehicle. How will you behave when you notice a fire in the electrical installation?,"I will stop the vehicle, open the door to evacuate the passengers, disconnect the pantograph from the rail grid and proceed to extinguish the fire.",I will drive to the nearest stop and then call the Fire Brigade.,Leave the tram as fast as possible.,A,,PT
"In this situation, can you enter the intersection in order to go straight?",,,,Tak,1A351.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
What speed must you drive on a motorway?,At least 40 km/h.,At least 60 km/h.,"A speed which does not cause an obstacle for other drivers, but not exceeding the maximum speed limit.",C,2A109.jpg,B
"When you ride a moped, do you have to wear a helmet?","Yes, in each case.","No, if I drive at a low speed.",Not if I travel as a passenger.,A,3A257.jpg,AM
Do you always have to stop before you enter a railway crossing marked with this sign?,,,,Nie,1A1106.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Do the signs you see here warn you that you are approaching a pedestrian crossing?,,,,Nie,1A1117.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"Once you go past these signs, should you expect the road to narrow on both sides?",,,,Tak,1A1118.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Does this sign warn you of an area that experiences intense precipitation?,,,,Nie,1A1121.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Does this sign warn you of the possibility of black ice on the road?,,,,Tak,1A1123.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Can you expect an oncoming vehicle after passing this warning sign?,,,,Tak,1A1126.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Can you enter the road past this sign for the purpose of making a U-turn?,,,,Nie,1A1201.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Can you drive past this sign with a vehicle (without a trailer) having a gross vehicle mass of 3 t?,,,,Tak,1A1205.wmv,"B,C,D,B1,C1,D1"
"In this situation, do you have to stop immediately in front of the stopping line and not in front of the sign?",,,,Tak,1A1207.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Can you make a U-turn at the nearest intersection?,,,,Nie,1A1208.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"In this situation, can you turn left once you go past this sign?",,,,Nie,1A1219.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Does the speed limit you see here apply only to the nearest intersection?,,,,Nie,1A1220.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Can you make a U-turn at this intersection?,,,,Nie,1A1222.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"In this situation, can you turn right at the nearest intersection?",,,,Nie,1A1223.wmv,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
Does this sign indicate that you are obliged to drive straight ahead at the nearest intersection?,,,,Nie,1A1302.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
"When you approach a place marked with this sign, are you obliged to exercise special caution?",,,,Tak,1A1305.jpg,"A,B,C,D,T,AM,A1,A2,B1,C1,D1"
